code,name,category,base_unit,kcal,protein_g,carbohydrate_g,fat_g,fiber_g,atwater_estimate_kcal,atwater_delta_kcal,used_in_plan,occurrence_days,food_state,state_review_required,aliases,conversion_count,provenance_granularity,optional_nutrients_present,audit_status
albume,albume,Latticini e uova,g,46.0,10.9,0.7,0.2,0.0,48.2,-2.2,True,102,unspecified,True,,0,dataset_level,0,review_state
arancia,arancia,Ortofrutta,g,47.0,0.9,12.0,0.1,2.4,52.5,-5.5,True,21,unspecified,True,,0,dataset_level,0,review_state
avena,fiocchi d'avena,"Cereali, pane e derivati",g,389.0,16.9,66.3,6.9,10.6,394.9,-5.9,True,5,unspecified,True,,0,dataset_level,0,review_state
banana,banana,Ortofrutta,g,89.0,1.1,22.8,0.3,2.6,98.3,-9.3,True,57,unspecified,True,banana matura,0,dataset_level,0,review_state
barbabietola,barbabietola,Ortofrutta,g,43.0,1.6,10.0,0.2,2.8,48.2,-5.2,False,0,unspecified,True,,0,dataset_level,0,review_state
bietola,bietole,Ortofrutta,g,19.0,1.8,3.7,0.2,1.6,23.8,-4.8,True,31,unspecified,True,,0,dataset_level,0,review_state
borlotti,borlotti cotti e sgocciolati,Legumi e conserve,g,127.0,9.0,22.8,0.5,6.0,131.7,-4.7,True,3,drained,False,,0,dataset_level,0,core_ready
branzino,branzino,Pesce,g,97.0,18.0,0.0,2.5,0.0,94.5,2.5,True,3,unspecified,True,,0,dataset_level,0,review_state
bresaola,bresaola,Carne e affettati,g,151.0,32.0,0.0,2.6,0.0,151.4,-0.4,True,21,unspecified,True,,0,dataset_level,0,review_state
broccoli,broccoli,Ortofrutta,g,34.0,2.8,6.6,0.4,2.6,41.2,-7.2,True,15,unspecified,True,,0,dataset_level,0,review_state
burro_arachidi,burro di arachidi 100%,Frutta secca e semi,g,588.0,25.0,20.0,50.0,6.0,630.0,-42.0,False,0,unspecified,True,,0,dataset_level,0,review_state
cachi,cachi,Ortofrutta,g,70.0,0.6,18.6,0.2,3.6,78.6,-8.6,True,8,unspecified,True,,0,dataset_level,0,review_state
calamaro,calamaro,Pesce,g,92.0,16.0,3.0,1.4,0.0,88.6,3.4,False,0,unspecified,True,,0,dataset_level,0,review_state
