recipe_id,version_id,composition_status,ingredient_count,occurrence_count,source_kcal,calculated_kcal,rounded_match_to_source,servings,servings_source,instructions_status,editable_ingredient_composition
base:recipe:banana-e-latte,base:recipe-version:banana-e-latte:a4b16218d9a8fc6e,structured,2,11,171.8,171.8,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-coreana-delicata-con-manzo-riso-e-broccoli,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-broccoli:8f339ab02fbaac9b,structured,6,1,425.2,425.24,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:1293bd4b61952158,structured,6,1,465.1,465.14,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:65761b5bbf817bdd,structured,6,1,431.5,431.54,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:b1a32c25c8e098c3,structured,6,1,411.7,411.74,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:d1b595b5e437cfbd,structured,8,1,735.1,735.14,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-coreana-delicata-con-manzo-riso-e-cavolfiore,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-cavolfiore:57bba950e198a83f,structured,6,1,440.1,440.14,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-finocchi,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-finocchi:8f162b0b48e8e42c,structured,6,1,533.8,533.81,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-finocchi,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-finocchi:b41adde077b12d94,structured,5,1,484.8,484.77,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-finocchi,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-finocchi:f122945c590a00f2,structured,5,1,482.6,482.57,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:4e14a2e31e43d7bb,structured,5,1,483.9,483.91,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:6d838eced89712ef,structured,5,1,386.1,386.07,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:9f2fd9275b7e293c,structured,7,1,722.1,722.11,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:a0603a878bb7abc5,structured,5,1,439.5,439.47,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucchine,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucchine:15c1162c0403e1d0,structured,5,1,470.4,470.41,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-libanese-delicata-con-pollo-e-carote,base:recipe-version:bowl-libanese-delicata-con-pollo-e-carote:1bebfe8f0f652905,structured,5,1,447.5,447.51,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-libanese-delicata-con-pollo-e-carote,base:recipe-version:bowl-libanese-delicata-con-pollo-e-carote:1fc9cf3e2182a3e9,structured,5,2,447.5,447.51,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-libanese-delicata-con-pollo-e-carote,base:recipe-version:bowl-libanese-delicata-con-pollo-e-carote:aa410de3e2574037,structured,7,1,728.1,728.11,True,1.0,inferred_single_person_meal,missing,True
base:recipe:bowl-libanese-delicata-con-pollo-e-zucchine,base:recipe-version:bowl-libanese-delicata-con-pollo-e-zucchine:a15e5abe7245291d,structured,5,1,411.5,411.51,True,1.0,inferred_single_person_meal,missing,True
base:recipe:branzino-con-polenta-e-finocchi,base:recipe-version:branzino-con-polenta-e-finocchi:d61134f849a13e58,structured,4,1,399.9,399.92,True,1.0,inferred_single_person_meal,missing,True
base:recipe:branzino-con-polenta-e-zucca,base:recipe-version:branzino-con-polenta-e-zucca:774ae20421803368,structured,4,1,426.7,426.74,True,1.0,inferred_single_person_meal,missing,True
base:recipe:branzino-con-polenta-e-zucchine,base:recipe-version:branzino-con-polenta-e-zucchine:05d43f46b0cd324d,structured,4,1,410.5,410.54,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-coreana-delicata-con-manzo-riso-e-carote,base:recipe-version:brunch-bowl-coreana-delicata-con-manzo-riso-e-carote:423d649b72c9b88e,structured,8,1,608.7,608.74,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-coreana-delicata-con-manzo-riso-e-cavolfiore,base:recipe-version:brunch-bowl-coreana-delicata-con-manzo-riso-e-cavolfiore:63b56b94717dece6,structured,8,1,558.3,558.34,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi,base:recipe-version:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi:520bc40de1b4a1f2,structured,7,1,601.4,601.41,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi,base:recipe-version:brunch-bowl-greca-delicata-con-pollo-feta-e-finocchi:7efcddfacc60ed6d,structured,7,1,590.6,590.61,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-greca-delicata-con-pollo-feta-e-zucca,base:recipe-version:brunch-bowl-greca-delicata-con-pollo-feta-e-zucca:07916c78b183b2f3,structured,7,1,604.7,604.71,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-libanese-delicata-con-pollo-e-carote,base:recipe-version:brunch-bowl-libanese-delicata-con-pollo-e-carote:0d98b20f23d7e14c,structured,7,1,546.7,546.71,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-libanese-delicata-con-pollo-e-cavolfiore,base:recipe-version:brunch-bowl-libanese-delicata-con-pollo-e-cavolfiore:af784d03dc2e7330,structured,7,1,523.9,523.91,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-bowl-libanese-delicata-con-pollo-e-zucchine,base:recipe-version:brunch-bowl-libanese-delicata-con-pollo-e-zucchine:bae3486662495964,structured,7,1,532.3,532.31,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno,base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:51d145e2523448a2,structured,6,1,580.3,580.31,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno,base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:c375035a445652fc,structured,6,1,585.1,585.11,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno,base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:f709e3e2d48d318a,structured,6,1,561.6,561.56,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-fagiolini,base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-fagiolini:cdc52c441541b852,structured,6,1,551.5,551.5,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-finocchi,base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-finocchi:eebf147165557e2b,structured,6,1,525.9,525.9,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-couscous-marocchino-delicato-con-tacchino-e-spinaci,base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-spinaci:2557ab866f22e233,structured,6,1,556.5,556.5,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-carciofi,base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-carciofi:56dec7c50290a4ca,structured,6,1,645.2,645.2,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-funghi,base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-funghi:3445c6dd8204e71f,structured,6,1,595.4,595.4,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane,base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane:fc8810506d8d8fb9,structured,6,1,625.1,625.1,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-curry-bianco-molto-delicato-di-pollo-e-zucca,base:recipe-version:brunch-curry-bianco-molto-delicato-di-pollo-e-zucca:a62778145c4cb2d2,structured,7,1,578.9,578.92,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-jacket-potato-con-tonno-primosale-e-radicchio,base:recipe-version:brunch-jacket-potato-con-tonno-primosale-e-radicchio:62050051d69c469b,structured,6,1,557.4,557.42,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-bietole,base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-bietole:a868797ef77a836a,structured,7,1,515.8,515.78,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-radicchio,base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-radicchio:1d80294769500be2,structured,7,1,522.6,522.58,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-kofte-di-tacchino-delicati-con-riso-e-spinaci,base:recipe-version:brunch-kofte-di-tacchino-delicati-con-riso-e-spinaci:6f319aee6505b9e8,structured,7,1,520.6,520.58,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-noodles-di-riso-con-pollo-e-finocchi,base:recipe-version:brunch-noodles-di-riso-con-pollo-e-finocchi:77a636a09e897fa8,structured,8,1,531.1,531.11,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-noodles-di-riso-con-pollo-e-spinaci,base:recipe-version:brunch-noodles-di-riso-con-pollo-e-spinaci:57996d4ba22fbbda,structured,7,1,496.1,496.11,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-poke-tiepido-con-salmone-e-lattuga,base:recipe-version:brunch-poke-tiepido-con-salmone-e-lattuga:c16219f1237dbc17,structured,8,1,640.7,640.74,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-polpette-svedesi-leggere-con-finocchi,base:recipe-version:brunch-polpette-svedesi-leggere-con-finocchi:26766f7a5b341cea,structured,8,1,578.6,578.61,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-polpette-svedesi-leggere-con-zucca,base:recipe-version:brunch-polpette-svedesi-leggere-con-zucca:2996ac5a3ebbda26,structured,8,1,569.9,569.91,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-riso-teriyaki-delicato-con-tacchino-e-carciofi,base:recipe-version:brunch-riso-teriyaki-delicato-con-tacchino-e-carciofi:dd1df9125ddfa6b3,structured,7,1,500.7,500.74,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-salmone-nordico-con-patate-e-bietole,base:recipe-version:brunch-salmone-nordico-con-patate-e-bietole:ccfb3e76efd51dbc,structured,7,1,618.1,618.06,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-salmone-nordico-con-patate-e-cavolfiore,base:recipe-version:brunch-salmone-nordico-con-patate-e-cavolfiore:231333569dcf995f,structured,7,1,610.3,610.26,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-salmone-nordico-con-patate-e-zucca,base:recipe-version:brunch-salmone-nordico-con-patate-e-zucca:6c518a0b9734ea57,structured,7,1,638.2,638.16,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-tortilla-spagnola-leggera-con-zucchine,base:recipe-version:brunch-tortilla-spagnola-leggera-con-zucchine:077a564b9ed6cef4,structured,7,1,623.3,623.34,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-tortilla-spagnola-leggera-con-zucchine,base:recipe-version:brunch-tortilla-spagnola-leggera-con-zucchine:2c89ad4f9dcd0ba3,structured,7,1,617.3,617.34,True,1.0,inferred_single_person_meal,missing,True
base:recipe:brunch-wrap-morbido-con-pollo-primosale-e-cavolfiore,base:recipe-version:brunch-wrap-morbido-con-pollo-primosale-e-cavolfiore:2669de684378973b,structured,6,1,626.9,626.9,True,1.0,inferred_single_person_meal,missing,True
